Timestamp;Battery voltage;Illumination intensity;Movement;CO2;Humidity;Temperature;RSSI;SF;SNR
2022-12-19 12:47:46;3,664;94;0;952;32;21;-83;7;9
2022-12-19 12:57:46;3,664;90;0;907;32;21;-85;7;11,5
2022-12-19 13:17:46;3,661;47;0;898;32;20,9;-81;7;8,8
2022-12-19 13:27:46;3,661;67;0;871;32;20,8;-81;7;0,5
2022-12-19 13:37:46;3,661;50;0;867;32;20,7;-79;7;8,5
2022-12-19 13:57:46;3,664;47;0;853;32;20,7;-77;7;7,2
2022-12-19 14:07:47;3,661;50;0;826;32;20,8;-83;7;10,2
2022-12-19 14:17:46;3,661;50;0;833;33;20,7;-83;7;10
2022-12-19 14:37:46;3,659;26;0;792;32;20,7;-79;7;8
2022-12-19 14:47:46;3,661;23;0;812;32;20,7;-83;7;9
2022-12-19 15:07:47;3,661;13;0;821;33;20,7;-79;7;7,2
2022-12-19 15:17:46;3,661;10;0;817;33;20,7;-85;7;7,5
2022-12-19 16:17:46;3,664;3;0;784;33;20,7;-80;7;8,5
2022-12-19 16:27:46;3,664;3;0;790;33;20,7;-80;7;7
2022-12-19 17:07:46;3,661;0;0;757;33;20,7;-81;7;9,5
2022-12-19 17:17:46;3,664;0;0;755;33;20,8;-81;7;10,8
2022-12-19 17:27:45;3,664;3;0;740;33;20,7;-81;7;9
2022-12-19 17:37:46;3,661;0;0;737;33;20,7;-81;7;10,8
2022-12-19 18:07:45;3,664;3;0;726;33;20,6;-79;7;9,2
2022-12-19 18:37:45;3,664;3;0;706;33;20,5;-80;7;12
2022-12-19 19:17:45;3,664;3;0;682;33;20,4;-81;7;7,2
2022-12-19 19:27:45;3,661;3;0;686;33;20,3;-83;7;9,8
2022-12-19 19:37:45;3,664;0;0;697;33;20,3;-80;7;10,2
2022-12-19 19:57:45;3,664;3;0;665;33;20,3;-79;7;8,5
2022-12-19 21:07:45;3,664;0;0;648;33;20,1;-81;7;7,8
2022-12-19 21:17:45;3,664;0;0;645;34;20,1;-79;7;10,5
2022-12-19 21:27:44;3,664;0;0;647;34;20,1;-79;7;10,2
2022-12-19 21:57:45;3,664;0;0;645;34;20,1;-80;7;9
2022-12-19 22:57:44;3,664;0;0;624;34;20;-77;7;8,2
2022-12-19 23:17:45;3,664;0;0;647;34;20;-81;7;7,8
2022-12-19 23:27:44;3,664;0;0;618;34;20;-81;7;9,8
2022-12-19 23:37:44;3,664;0;0;632;34;20;-77;7;9,2
2022-12-20 00:07:45;3,664;0;0;621;34;19,9;-80;7;11
2022-12-20 00:17:44;3,664;0;0;627;34;19,9;-80;7;11
2022-12-20 00:47:44;3,664;0;0;621;34;19,9;-80;7;10,2
2022-12-20 01:17:45;3,664;0;0;620;34;19,9;-79;7;9,8
2022-12-20 01:27:45;3,664;0;0;618;34;19,9;-78;7;9
2022-12-20 01:37:44;3,664;0;0;608;34;19,8;-79;7;8,5
2022-12-20 01:47:44;3,664;0;0;617;34;19,8;-78;7;8
2022-12-20 02:47:44;3,664;0;0;601;34;19,8;-78;7;9,8
2022-12-20 03:37:44;3,664;0;0;592;34;19,8;-77;7;9,2
2022-12-20 03:47:44;3,664;0;0;589;34;19,7;-79;7;7
2022-12-20 04:07:44;3,664;0;0;583;34;19,8;-78;7;8,5
2022-12-20 04:17:44;3,664;0;0;567;34;19,7;-78;7;7,8
2022-12-20 05:37:43;3,664;0;0;577;34;19,6;-80;7;10,8
2022-12-20 05:47:43;3,664;3;0;584;34;19,7;-77;7;9
2022-12-20 06:37:43;3,664;0;2;568;34;19,7;-77;7;8,5
2022-12-20 06:47:43;3,664;0;0;568;34;19,7;-77;7;8,8
2022-12-20 06:57:44;3,664;0;0;573;34;19,7;-78;7;11
2022-12-20 07:07:43;3,664;3;3;569;39;19,8;-76;7;10,8
2022-12-20 07:17:43;3,661;0;0;593;41;19,9;-79;7;9,8
2022-12-20 08:07:43;3,664;0;0;572;37;20,1;-79;7;10
2022-12-20 08:17:43;3,664;266;7;655;37;20,2;-81;7;10,2
2022-12-20 08:27:43;3,661;252;3;930;39;20,5;-79;7;7
2022-12-20 08:57:43;3,661;235;0;1276;38;21,7;-84;7;9
2022-12-20 09:17:42;3,661;20;11;928;36;21,6;-81;7;9,2
2022-12-20 09:27:42;3,661;57;0;891;36;21,3;-80;7;9,2
2022-12-20 09:37:43;3,661;37;0;886;36;21;-77;7;8
2022-12-20 09:57:42;3,664;114;0;867;36;20,8;-81;7;5,5
2022-12-20 10:47:42;3,664;161;0;832;36;20,5;-77;7;10,2
2022-12-20 10:57:42;3,661;208;0;823;36;20,6;-75;7;7,2
2022-12-20 11:07:43;3,664;262;0;813;36;20,6;-77;7;10,5
2022-12-20 11:17:42;3,664;276;0;815;36;20,6;-79;7;8,8
2022-12-20 11:27:42;3,661;741;0;806;36;20,6;-77;7;10,2
2022-12-20 11:47:42;3,661;212;0;770;36;20,6;-80;7;10,5
2022-12-20 12:07:42;3,661;410;0;756;36;20,6;-76;7;9,5
2022-12-20 12:17:42;3,661;262;0;760;36;20,6;-75;7;7
2022-12-20 12:47:42;3,664;363;0;738;36;20,6;-79;7;8,5
2022-12-20 12:57:41;3,661;168;0;727;36;20,6;-83;7;10
2022-12-20 13:07:42;3,664;215;0;741;36;20,6;-81;7;6,8
2022-12-20 13:37:42;3,664;77;0;731;36;20,6;-75;7;7,5
2022-12-20 13:57:42;3,661;33;0;707;36;20,6;-81;7;2,5
2022-12-20 14:17:42;3,664;53;0;706;35;20,6;-80;7;10,8
2022-12-20 15:17:42;3,661;16;0;687;35;20,6;-81;7;9,8
2022-12-20 15:37:42;3,664;13;0;693;35;20,6;-79;7;9,5
2022-12-20 16:07:41;3,664;262;2;952;37;21,1;-83;7;9,8
2022-12-20 16:17:41;3,664;252;0;1109;37;21,4;-76;7;10,5
2022-12-20 16:37:41;3,661;245;0;1197;36;22;-80;7;10,2
2022-12-20 16:47:42;3,664;225;7;1185;36;22,2;-80;7;9,8
2022-12-20 17:37:41;3,661;3;0;1049;36;21,1;-75;7;9
2022-12-20 17:47:41;3,661;3;10;1154;37;21,1;-75;7;7,8
2022-12-20 17:57:41;3,661;0;0;1149;37;21,1;-78;7;9,8
2022-12-20 18:57:41;3,661;0;0;1069;37;20,6;-79;7;10
2022-12-20 19:17:41;3,664;3;0;1019;37;20,5;-80;7;8,8
2022-12-20 19:27:40;3,661;0;0;1018;37;20,5;-80;7;9,8
2022-12-20 19:37:41;3,661;0;0;1013;37;20,5;-77;7;10,8
2022-12-20 19:47:41;3,664;0;0;987;37;20,4;-77;7;11,2
2022-12-20 20:17:40;3,661;0;0;967;37;20,3;-75;7;7
2022-12-20 20:57:40;3,664;0;0;942;37;20,4;-77;7;9,8
2022-12-20 21:17:41;3,664;0;0;933;37;20,3;-75;7;9,8
2022-12-20 22:57:40;3,664;0;0;864;37;20,2;-77;7;8,2
2022-12-20 23:07:40;3,664;0;0;872;37;20,2;-78;7;8,2
2022-12-20 23:27:41;3,664;0;0;865;37;20,1;-80;7;10,5
2022-12-20 23:47:40;3,664;0;0;860;37;20,2;-78;7;7,5
2022-12-20 23:57:40;3,664;0;0;859;37;20,1;-78;7;10,5
2022-12-21 00:47:40;3,664;0;0;837;37;20,1;-80;7;9,5
2022-12-21 01:27:40;3,664;0;0;838;36;20,1;-77;7;9
2022-12-21 02:17:40;3,664;0;0;797;36;20;-76;7;10
2022-12-21 02:37:39;3,664;0;0;785;36;20;-78;7;10,8
2022-12-21 02:47:40;3,664;0;0;793;36;20,1;-76;7;8,2
2022-12-21 04:27:39;3,661;0;0;761;36;20;-77;7;9,8
2022-12-21 04:37:40;3,664;0;0;757;36;19,9;-81;7;8,2
2022-12-21 04:47:39;3,664;0;0;755;36;19,9;-81;7;10,8
2022-12-21 05:27:39;3,664;0;0;746;36;19,9;-77;7;9,5
2022-12-21 05:37:39;3,664;3;0;731;36;19,9;-80;7;8,5
2022-12-21 05:57:39;3,664;0;0;723;36;19,9;-80;7;10
2022-12-21 06:37:39;3,664;0;0;735;37;19,9;-79;7;9,5
2022-12-21 06:47:39;3,664;0;0;726;37;19,9;-78;7;9,8
2022-12-21 07:17:39;3,664;0;0;729;36;20,2;-80;7;6,8
2022-12-21 07:37:38;3,661;0;0;708;36;20,2;-78;7;10,5
2022-12-21 07:57:38;3,664;266;11;748;37;20,3;-76;7;9
2022-12-21 08:07:38;3,661;239;1;753;38;20,6;-77;7;10,5
2022-12-21 08:17:38;3,661;249;7;675;37;20,9;-79;7;9,5
2022-12-21 08:27:39;3,664;249;0;617;38;21;-78;7;9,5
2022-12-21 08:57:38;3,664;30;0;495;37;20,6;-76;7;10,8
2022-12-21 09:07:39;3,661;47;0;507;37;20,4;-79;7;4,5
2022-12-21 09:27:38;3,664;94;0;536;37;20,1;-76;7;8,8
2022-12-21 09:47:38;3,661;63;0;572;37;20;-79;7;10
2022-12-21 09:57:38;3,664;67;6;622;38;20,1;-77;7;11
2022-12-21 10:07:39;3,664;107;0;645;38;20,2;-78;7;9,5
2022-12-21 10:27:38;3,664;104;0;631;38;20,4;-75;7;9,5
2022-12-21 10:57:38;3,661;87;0;647;37;20,5;-79;7;9,5
2022-12-21 11:07:38;3,661;97;0;641;37;20,5;-78;7;9
2022-12-21 11:37:38;3,661;77;2;639;38;20,6;-75;7;9,5
2022-12-21 11:47:38;3,664;87;4;691;38;20,8;-77;7;7,5
2022-12-21 12:27:38;3,664;97;0;678;37;20,8;-77;7;11,5
